step,current_size,treatment,scenario
0,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
1,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
2,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
3,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
4,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
5,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
6,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
7,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
8,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
9,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
10,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
11,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
12,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
13,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
14,10,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
15,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
16,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
17,11,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
18,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
19,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
20,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
21,13,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
22,13,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
23,13,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
24,13,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
25,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
26,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
27,12,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
28,13,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
29,14,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
30,14,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
31,14,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
32,14,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
33,14,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
34,14,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
35,14,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
36,15,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
37,16,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
38,17,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
39,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
40,19,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
41,19,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
42,19,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
43,19,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
44,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
45,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
46,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
47,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
48,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
49,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
50,18,"Treatment(3000, 2000, 1000, 3, Float16(0.75), false, false)","Scenario(1000000, 0, 0, [(1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1), (1, 1, 1)], Any[])"
