"";"A";"B";"C";"D";"E";"F";"G";"Birth"
"1";0;0;0;0;0;0;0;0,027
"2";1;0;0;0;0;0;0;9,21306708059274e-10
"3";0;1;0;0;0;0;0;0,0416476752707434
"4";0;0;1;0;0;0;0;0,0388453193279592
"5";0;0;0;1;0;0;0;7,8326803019736e-10
"6";0;0;0;0;1;0;0;0,0284935727275195
"7";0;0;0;0;0;1;0;5,26421840908006e-10
"8";0;0;0;0;0;0;1;3,78562870807946e-10
"9";1;1;0;0;0;0;0;7,10833952948451e-10
"10";1;0;1;0;0;0;0;0,0239831266642594
"11";1;0;0;1;0;0;0;0,037179838775344
"12";1;0;0;0;1;0;0;3,06331309559755e-10
"13";1;0;0;0;0;1;0;9,30979425995611e-10
"14";1;0;0;0;0;0;1;8,82423089840449e-10
"15";0;1;1;0;0;0;0;0,0161161963487835
"16";0;1;0;1;0;0;0;8,59128881548531e-10
"17";0;1;0;0;1;0;0;0,0351203837906794
"18";0;1;0;0;0;1;0;0,031565228130174
"19";0;1;0;0;0;0;1;7,50819977303036e-10
"20";0;0;1;1;0;0;0;0,0300143147952121
"21";0;0;1;0;1;0;0;0,0510942458540293
"22";0;0;1;0;0;1;0;9,16896280739456e-10
"23";0;0;1;0;0;0;1;8,94689012505114e-10
"24";0;0;0;1;1;0;0;6,30734977289103e-10
"25";0;0;0;1;0;1;0;8,87871532468125e-10
"26";0;0;0;1;0;0;1;6,68444790854119e-10
"27";0;0;0;0;1;1;0;9,04612120520324e-10
"28";0;0;0;0;1;0;1;5,69594240305014e-10
"29";0;0;0;0;0;1;1;9,13341844175011e-10
"30";1;1;1;0;0;0;0;1,44642717228271e-10
"31";1;1;0;1;0;0;0;0,0354233694324566
"32";1;1;0;0;1;0;0;9,69899708963931e-10
"33";1;1;0;0;0;1;0;0,0321444480634042
"34";1;1;0;0;0;0;1;5,79547668388113e-10
"35";1;0;1;1;0;0;0;0,0294403387346307
"36";1;0;1;0;1;0;0;4,38720021839254e-10
"37";1;0;1;0;0;1;0;6,76261367555708e-10
"38";1;0;1;0;0;0;1;5,60248913010582e-10
"39";1;0;0;1;1;0;0;0,0471446217734712
"40";1;0;0;1;0;1;0;0,0312875498737888
"41";1;0;0;1;0;0;1;9,20917082205415e-10
"42";1;0;0;0;1;1;0;6,91921855392866e-10
"43";1;0;0;0;1;0;1;5,88017600192688e-10
"44";1;0;0;0;0;1;1;1,87540245102718e-10
"45";0;1;1;1;0;0;0;8,52625964698382e-10
"46";0;1;1;0;1;0;0;0,0519104470320007
"47";0;1;1;0;0;1;0;0,0342312623836278
"48";0;1;1;0;0;0;1;7,29542428720742e-10
"49";0;1;0;1;1;0;0;7,61512909061275e-10
"50";0;1;0;1;0;1;0;2,0038529378362e-10
"51";0;1;0;1;0;0;1;4,2781793938484e-10
"52";0;1;0;0;1;1;0;4,59278620220721e-10
"53";0;1;0;0;1;0;1;8,94834726862609e-10
"54";0;1;0;0;0;1;1;0,0336043536085552
"55";0;0;1;1;1;0;0;1,71392728667706e-10
"56";0;0;1;1;0;1;0;9,1888494133018e-10
"57";0;0;1;1;0;0;1;0,0353470862850474
"58";0;0;1;0;1;1;0;0,0422403278777515
"59";0;0;1;0;1;0;1;0,0334494123714138
"60";0;0;1;0;0;1;1;0,0289046847433705
"61";0;0;0;1;1;1;0;3,68627761583775e-10
"62";0;0;0;1;1;0;1;8,41456883214414e-10
"63";0;0;0;1;0;1;1;2,09600949473679e-10
"64";0;0;0;0;1;1;1;2,31093126744963e-10
"65";1;1;1;1;0;0;0;7,2609294175636e-10
"66";1;1;1;0;1;0;0;5,26789984782226e-10
"67";1;1;1;0;0;1;0;0,0356234915723475
"68";1;1;1;0;0;0;1;8,67159391031601e-10
"69";1;1;0;1;1;0;0;0,0346643758651576
"70";1;1;0;1;0;1;0;0,0288362294058573
"71";1;1;0;1;0;0;1;9,30911235860549e-10
"72";1;1;0;0;1;1;0;2,9244036427699e-10
"73";1;1;0;0;1;0;1;2,35271813720465e-10
"74";1;1;0;0;0;1;1;0,0303605243872649
"75";1;0;1;1;1;0;0;8,59655336942524e-10
"76";1;0;1;1;0;1;0;0,0296961675216459
"77";1;0;1;1;0;0;1;8,85660912585445e-10
"78";1;0;1;0;1;1;0;3,05498736584559e-10
"79";1;0;1;0;1;0;1;8,99480675184168e-10
"80";1;0;1;0;0;1;1;0,0109550080110122
"81";1;0;0;1;1;1;0;1,16123965801671e-10
"82";1;0;0;1;1;0;1;2,04338473407552e-10
"83";1;0;0;1;0;1;1;2,64057865086943e-10
"84";1;0;0;0;1;1;1;9,41843121428974e-10
"85";0;1;1;1;1;0;0;0,0296477566973373
"86";0;1;1;1;0;1;0;0,0284403550199495
"87";0;1;1;1;0;0;1;6,66384041914716e-10
"88";0;1;1;0;1;1;0;0,0379960779523926
"89";0;1;1;0;1;0;1;3,78467483702116e-10
"90";0;1;1;0;0;1;1;0,0315904215183345
"91";0;1;0;1;1;1;0;5,4745756466873e-10
"92";0;1;0;1;1;0;1;5,33136895764619e-10
"93";0;1;0;1;0;1;1;5,20909274625592e-10
"94";0;1;0;0;1;1;1;0,0324053687267595
"95";0;0;1;1;1;1;0;1,13561692810617e-10
"96";0;0;1;1;1;0;1;0,0299931873083082
"97";0;0;1;1;0;1;1;3,56868016184308e-10
"98";0;0;1;0;1;1;1;0,055
"99";0;0;0;1;1;1;1;9,04614213481545e-10
"100";1;1;1;1;1;0;0;0,0341176261433651
"101";1;1;1;1;0;1;0;0,0374130201123687
"102";1;1;1;1;0;0;1;6,82464313483797e-10
"103";1;1;1;0;1;1;0;8,53898990759626e-10
"104";1;1;1;0;1;0;1;1,2011736095883e-10
"105";1;1;1;0;0;1;1;0,0291595825529951
"106";1;1;0;1;1;1;0;9,78245434165001e-10
"107";1;1;0;1;1;0;1;9,05376176256687e-10
"108";1;1;0;1;0;1;1;0,0303989984528947
"109";1;1;0;0;1;1;1;1,61225338256918e-10
"110";1;0;1;1;1;1;0;0,0322235241429851
"111";1;0;1;1;1;0;1;5,84831320913509e-10
"112";1;0;1;1;0;1;1;0,0283951931167386
